prev_current_center_x,prev_current_center_y,prev_angle,prev_phase_value_x,prev_phase_value_y,prev_phase_value_z,prev_amplitude_value_x,prev_amplitude_value_y,prev_amplitude_value_z,movement_category,movement_purity,delta_prev_current_center_x,delta_prev_current_center_y,delta_angle,normalized_causing_action
0.615,0.402,23.962488974578207,1.0,0.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0,0.0,1.0
0.615,0.402,23.962488974578207,1.0,0.0,0.0,0.0,0.0,1.0,Stop,0.0,0.0,0.0,0.0,0.9090909090909092
0.614,0.402,24.775140568831944,1.0,0.0,0.0,0.0,0.0,0.0,Stop,0.0,-0.0010000000000000009,0.0,0.8126515942537367,0.0909090909090909
0.614,0.403,26.565051177077976,1.0,0.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0010000000000000009,1.789910608246032,0.2727272727272727
0.614,0.403,26.565051177077976,1.0,1.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0,0.0,0.7272727272727273
0.614,0.402,24.775140568831944,1.0,1.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,-0.0010000000000000009,-1.789910608246032,0.2727272727272727
0.614,0.404,24.775140568831944,1.0,1.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0020000000000000018,0.0,0.0909090909090909
0.614,0.403,22.93210043758978,1.0,1.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,-0.0010000000000000009,-1.8430401312421623,0.4545454545454545
0.614,0.402,24.775140568831944,1.0,1.0,1.0,0.0,0.0,0.0,Stop,0.0,0.0,-0.0010000000000000009,1.8430401312421623,0.9090909090909092
0.614,0.402,24.775140568831944,1.0,1.0,1.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0,0.0,0.4545454545454545
0.614,0.403,22.93210043758978,1.0,1.0,1.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0010000000000000009,-1.8430401312421623,0.0909090909090909
0.614,0.402,24.775140568831944,1.0,1.0,1.0,0.0,0.0,0.0,Stop,0.0,0.0,-0.0010000000000000009,1.8430401312421623,0.7272727272727273
0.614,0.403,26.565051177077976,1.0,1.0,1.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0010000000000000009,1.789910608246032,0.6363636363636364
0.614,0.402,24.775140568831944,1.0,1.0,1.0,1.0,0.0,0.0,Stop,0.0,0.0,-0.0010000000000000009,-1.789910608246032,0.4545454545454545
0.614,0.404,23.198590513648185,1.0,1.0,1.0,1.0,0.0,0.0,Stop,0.0,0.0,0.0020000000000000018,-1.576550055183759,0.1818181818181818
0.613,0.403,22.166345822082462,1.0,0.0,1.0,1.0,0.0,0.0,Stop,0.0,-0.0010000000000000009,-0.0010000000000000009,-1.0322446915657224,0.9090909090909092
0.613,0.405,22.166345822082462,1.0,0.0,1.0,1.0,0.0,0.0,Stop,0.0,0.0,0.0020000000000000018,0.0,0.1818181818181818
0.614,0.405,21.44773632710536,1.0,0.0,1.0,1.0,0.0,0.0,Stop,0.0,0.0010000000000000009,0.0,-0.7186094949771018,0.2727272727272727
